	pval_up	pval_dn	FDR_up	FDR_dn
no1-DESeq2	1	2	0	0
no1-DESeq2Block	0	5	0	0
no1-EdgeR	153	192	0	0
no1-EdgeRBlock	166	225	0	0
no2-DESeq2	0	25	0	0
no2-DESeq2Block	6	303	0	24
no2-EdgeR	393	216	0	0
no2-EdgeRBlock	472	257	1	5
no3-DESeq2	1	5	0	0
no3-DESeq2Block	1	28	0	0
no3-EdgeR	386	198	0	0
no3-EdgeRBlock	537	343	0	0
no4-DESeq2	2	0	0	0
no4-DESeq2Block	11	297	0	0
no4-EdgeR	229	132	0	0
no4-EdgeRBlock	713	318	5	1
allsamples-DESeq2	3	6	0	0
allsamples-DESeq2Block	0	41	0	0
allsamples-EdgeR	367	175	0	0
allsamples-EdgeRBlock	511	239	2	0
