"combineID"	"logFC"	"P.Value"	"adj.P.Val"	"Gene.symbol"	"GSE41258"	"GSE14297"	"GSE35834"
"gene_3931"	4.94300205160086	2.77582794944899e-15	4.17817622951062e-11	"CRP"	"37020_at"	4610041	"1401_at"
"gene_6010"	4.29751597475685	1.3342460026323e-14	1.00415354158107e-10	"FGB"	"204988_at"	3140136	"2244_at"
"gene_3930"	4.30171205071698	4.50889954116297e-14	2.14454670391329e-10	"CRP"	"205753_at"	4610041	"1401_at"
"gene_733"	5.3360029699458	5.69903455730345e-14	2.14454670391329e-10	"ALB"	"211298_s_at"	2710427	"213_at"
"gene_6069"	4.67591774881279	1.96770566118939e-13	5.92358112244454e-10	"FGG"	"219612_s_at"	3460441	"2266_at"
"gene_7733"	4.74680418159587	3.00303898303158e-13	7.53362379543188e-10	"HP"	"206697_s_at"	5570484	"3240_at"
"gene_6007"	3.93741236871315	4.11983551494276e-13	8.85882345298836e-10	"FGA"	"205650_s_at"	2710746	"2243_at"
"gene_6544"	4.14279746066401	6.06076076975027e-13	1.09675752937468e-09	"GC"	"204965_at"	6940142	"2638_at"
"gene_4295"	3.69315020251503	7.13937718680739e-13	1.09675752937468e-09	"CYP2E1"	"209975_at"	5570228	"1571_at"
"gene_4152"	-1.73341084271997	7.28645714439729e-13	1.09675752937468e-09	"CTSK"	"202450_s_at"	7650687	"1513_at"
"gene_6011"	4.48235779273246	2.4120086605079e-12	3.30050494163317e-09	"FGB"	"216238_s_at"	3140136	"2244_at"
"gene_6068"	4.47577275847946	2.98369891924686e-12	3.74255301104197e-09	"FGG"	"219612_s_at"	4220100	"2266_at"
"gene_2984"	1.6248478254006	4.59242650164973e-12	5.31732336175629e-09	"CDH2"	"203440_at"	4780376	"1000_at"
"gene_297"	-1.9957676070114	1.08533474513745e-11	1.16688989884349e-08	"ACTG2"	"202274_at"	4760682	"72_at"
"gene_1116"	2.41756729962939	1.26723954981649e-11	1.26905463657632e-08	"APOC1"	"213553_x_at"	150474	"341_at"
"gene_15778"	3.65590508042042	1.34898180874443e-11	1.26905463657632e-08	"SERPINA3"	"202376_at"	6060112	"12_at"
"gene_11884"	4.80523375297622	1.85706626548414e-11	1.64426831929807e-08	"ORM1"	"205040_at"	4640647	"5004_at"
"gene_1115"	2.67618264228461	2.22947244549884e-11	1.86433440275825e-08	"APOC1"	"204416_x_at"	150474	"341_at"
"gene_4207"	-2.54557800220183	4.52308218960153e-11	3.51474595255813e-08	"CXCL14"	"218002_s_at"	3450538	"9547_at"
"gene_6070"	3.30396205931799	4.72133390076012e-11	3.51474595255813e-08	"FGL1"	"205305_at"	6660259	"2267_at"
"gene_1102"	3.23723315737438	4.90364503080792e-11	3.51474595255813e-08	"APOB"	"205108_s_at"	6130736	"338_at"
"gene_6006"	3.28045676744649	5.85621618571108e-11	4.0067166376056e-08	"FGA"	"205650_s_at"	150551	"2243_at"
"gene_8534"	2.76738200137219	6.98326604446216e-11	4.57009219570628e-08	"ITIH2"	"204987_at"	940095	"3698_at"
"gene_1099"	3.8892933644193	7.52342330295579e-11	4.71844031483711e-08	"APOA2"	"219465_at"	840402	"336_at"
"gene_3799"	2.92080762568845	8.41513307870677e-11	4.79941716430786e-08	"CP"	"204846_at"	6370243	"1356_at"
"gene_19412"	3.64829196546365	8.42610572992366e-11	4.79941716430786e-08	"VTN"	"204534_at"	2100356	"7448_at"
"gene_6009"	4.5470003007301	8.60910599497158e-11	4.79941716430786e-08	"FGA"	"205649_s_at"	2710746	"2243_at"
"gene_6144"	1.99980801739823	3.05098548978914e-10	1.64012262829665e-07	"FMO3"	"206496_at"	4390739	"2328_at"
"gene_10432"	-2.63610764884801	3.82120869836578e-10	1.98333908026902e-07	"MMP3"	"205828_at"	2970767	"4314_at"
"gene_6145"	2.27718414656573	4.65511719652516e-10	2.28311461066249e-07	"FMO3"	"40665_at"	4390739	"2328_at"
"gene_2214"	2.41105942708814	4.75359753291329e-10	2.28311461066249e-07	"C3"	"217767_at"	2810196	"718_at"
"gene_2213"	2.37668767885481	4.8538179339091e-10	2.28311461066249e-07	"C3"	"217767_at"	2680228	"718_at"
"gene_732"	3.64967712011417	5.48457554489911e-10	2.50163124550974e-07	"ALB"	"214842_s_at"	2710427	"213_at"
"gene_1100"	3.98026220665465	6.38238351569341e-10	2.82551872582992e-07	"APOA2"	"219466_s_at"	840402	"336_at"
"gene_1118"	2.80278394688186	8.45251178395862e-10	3.57568922599287e-07	"APOC2"	"204561_x_at"	2140066	"344_at"
"gene_1076"	2.6772693844229	8.55200718414452e-10	3.57568922599287e-07	"APCS"	"206350_at"	7160180	"325_at"
"gene_3711"	1.52363210046203	1.28686059238472e-09	5.23508800988507e-07	"COLEC11"	"219873_at"	6060431	"78989_at"
"gene_7747"	2.6582189044459	1.75502908488005e-09	6.90801093179513e-07	"HPR"	"208471_at"	7560291	"3250_at"
"gene_9133"	-0.969115843569771	1.78987793210211e-09	6.90801093179513e-07	"LAMA4"	"202202_s_at"	4730768	"3910_at"
"gene_391"	-1.25724607428852	2.2026646213825e-09	8.28862697026235e-07	"ADAMDEC1"	"206134_at"	870593	"27299_at"
"gene_19415"	-1.66275543511842	2.37507556122442e-09	8.71942374330486e-07	"VWF"	"202112_at"	6980719	"7450_at"
"gene_10422"	-1.47269684437173	3.58941160572392e-09	1.28637674974658e-06	"MMP2"	"201069_at"	130221	"4313_at"
"gene_3216"	1.48934148111341	4.00415831741704e-09	1.40164165101771e-06	"CFH"	"213800_at"	830379	"3075_at"
"gene_7771"	2.75283559112513	5.47859704196923e-09	1.87417824263002e-06	"HRG"	"31835_at"	2680129	"3273_at"
"gene_4299"	2.92563529212416	5.95593583270855e-09	1.97354170348217e-06	"CYP2E1"	"1431_at"	5570228	"1571_at"
"gene_13083"	-1.04795146795615	6.03128609886923e-09	1.97354170348217e-06	"PLAT"	"201860_s_at"	6580437	"5327_at"
