"Chr","Start","End","Conc","Conc_liver","Conc_colon","Fold","p-value","FDR"
"chr2",17699390,17700133,3.11,3.55,2.47,1.08,7.09e-05,1
"chr1",244815829,244816837,5.02,5.37,4.56,0.81,9.66e-05,1
"chr6",82956829,82958271,4.11,4.49,3.58,0.91,0.000132,1
"chr4",25378395,25379168,3.81,4.17,3.32,0.84,0.000158,1
"chrX",20284584,20285482,3.71,4.05,3.25,0.8,0.000187,1
"chr11",93394516,93395418,3.61,4,3.08,0.92,0.000331,1
"chr18",3261557,3262718,3.65,4.04,3.13,0.9,0.000336,1
"chr1",201083190,201084333,3.63,3.95,3.21,0.74,0.000385,1
"chr11",34937416,34938418,4.14,4.49,3.69,0.8,0.000399,1
"chr21",30364479,30365636,3.77,4.12,3.32,0.79,0.000408,1
"chr12",65563043,65564885,4.29,4.6,3.88,0.72,0.00046,1
"chr4",110354476,110355471,4.14,4.48,3.7,0.79,0.000465,1
"chr1",244614444,244615736,5.13,5.45,4.72,0.73,0.000523,1
"chr2",216176412,216177348,4.02,4.36,3.59,0.77,0.000557,1
"chr1",54518274,54519560,4.24,4.53,3.87,0.66,0.000566,1
"chr1",63249260,63250274,3.51,3.89,3,0.89,6e-04,1
"chr4",146540145,146541047,3.87,4.2,3.43,0.77,0.000649,1
"chr2",32390479,32391185,3.22,3.63,2.65,0.98,0.000667,1
"chr10",112631238,112632603,4.53,4.86,4.12,0.74,0.000676,1
"chr2",202645167,202646149,3.99,4.29,3.62,0.67,0.000682,1
"chr5",162864085,162865142,4.35,4.7,3.88,0.82,0.000704,1
"chr10",62537788,62538858,3.69,4.11,3.1,1.01,0.000747,1
"chr1",247494139,247495803,4.72,5.05,4.3,0.74,0.00078,1
"chr7",39662681,39664159,4.21,4.56,3.75,0.81,0.00079,1
"chr3",131099972,131101052,4.62,4.96,4.19,0.77,0.00081,1
"chr2",20100445,20102042,3.95,4.24,3.57,0.67,0.000837,1
"chr2",160142613,160143842,3.9,4.26,3.42,0.84,0.000851,1
"chr11",122526066,122527701,4.21,4.53,3.78,0.75,0.000876,1
"chr1",224544317,224545260,3.7,4.07,3.2,0.86,9e-04,1
"chr4",152245588,152247107,3.97,4.26,3.61,0.65,0.000923,1
"chr12",31226236,31227714,3.48,3.83,3.02,0.81,0.000928,1
"chr2",182756219,182757473,4.8,5.08,4.46,0.61,0.000951,1
"chr7",37071355,37072252,3.3,3.73,2.69,1.04,0.000952,1
"chr5",107007944,107009690,3.91,4.22,3.51,0.72,0.000962,1
"chr2",153031642,153032813,4.13,4.45,3.72,0.73,0.000972,1
"chr3",180629898,180630781,4.38,4.65,4.03,0.62,0.001,1
"chr12",63328045,63329223,4.19,4.49,3.81,0.68,0.00104,1
"chr3",129158428,129159472,4.12,4.44,3.72,0.72,0.00105,1
"chr12",97300726,97302004,3.58,3.94,3.08,0.86,0.00105,1
"chr12",95610933,95612145,4.62,4.91,4.26,0.65,0.00114,1
"chr12",107167731,107168778,4.61,4.86,4.31,0.55,0.00114,1
"chr11",66383611,66384773,3.91,4.15,3.62,0.54,0.00114,1
"chr10",99159900,99161356,3.33,3.71,2.82,0.89,0.00116,1
"chr16",83932178,83933379,4.27,4.59,3.86,0.74,0.00116,1
"chr8",117778279,117779347,4.37,4.68,3.96,0.72,0.00117,1
"chr1",213030938,213032502,4.24,4.57,3.83,0.73,0.00117,1
"chr7",130352980,130353900,4.01,4.3,3.65,0.65,0.00121,1
"chr3",38206294,38207523,4.61,4.92,4.21,0.72,0.00122,1
"chr2",62080738,62082092,4.06,4.37,3.67,0.7,0.00126,1
"chr1",165666999,165668139,3.99,4.3,3.59,0.71,0.00127,1
"chr14",55368627,55370108,3.79,4.14,3.33,0.81,0.0013,1
"chr3",108308028,108309011,3.8,4.15,3.33,0.82,0.00131,1
"chr11",82903997,82905747,3.91,4.24,3.47,0.77,0.00133,1
"chr5",159435798,159436455,2.97,3.45,2.25,1.2,0.00135,1
"chr8",120844785,120845614,3.71,4.11,3.15,0.96,0.00137,1
"chr1",109288916,109290205,4.26,4.61,3.8,0.8,0.00137,1
"chr2",159824256,159826502,4.19,4.5,3.81,0.69,0.00138,1
"chr2",43036900,43037908,4.35,4.63,4,0.63,0.00139,1
"chr1",193027728,193029329,5.03,5.35,4.6,0.75,0.0014,1
"chr3",155523288,155524403,3.74,4.11,3.24,0.86,0.0014,1
"chr7",92076483,92077876,4.03,4.35,3.63,0.71,0.00144,1
"chr5",115910262,115912191,4.43,4.75,4.02,0.72,0.00147,1
"chr6",74229933,74231558,4.6,4.96,4.12,0.84,0.00149,1
"chr3",28389854,28391105,4.78,5.11,4.34,0.77,0.0015,1
"chr9",80850671,80851614,3.75,4.09,3.3,0.78,0.00152,1
"chr12",66562929,66563974,4.27,4.59,3.85,0.74,0.00152,1
"chr5",40755116,40756357,3.86,4.19,3.43,0.76,0.00153,1
"chr7",134853867,134855840,4.62,4.9,4.27,0.64,0.00158,1
"chr7",144532303,144533700,4.35,4.67,3.94,0.73,0.00161,1
"chr7",55086393,55088049,3.85,4.16,3.45,0.71,0.00161,1
"chr5",112849129,112850015,3.32,3.73,2.76,0.97,0.00166,1
"chr3",187455741,187458070,3.99,4.28,3.62,0.66,0.00168,1
"chr6",127587538,127588670,3.85,4.22,3.35,0.87,0.00169,1
"chr18",32820330,32821294,3.54,3.89,3.07,0.82,0.00173,1
"chr1",59011758,59012789,4.2,4.55,3.75,0.8,0.00174,1
"chr9",6715935,6716663,2.58,3.06,1.85,1.2,0.00174,1
"chr3",58222763,58224176,3.8,4.17,3.3,0.87,0.00176,1
"chr14",20881060,20882120,3.27,3.65,2.77,0.88,0.00177,1
"chr2",60780623,60782594,4.22,4.47,3.91,0.57,0.00182,1
"chr10",3214517,3215806,4.91,5.22,4.51,0.71,0.00183,1
"chr13",103497812,103498911,4.01,4.32,3.61,0.72,0.00187,1
"chr9",34458170,34458946,4.48,4.66,4.29,0.38,0.00189,1
