"Chr","Start","End","Conc","Conc_colon","Conc_liver","Fold","p-value","FDR"
"chr6",58776232,58779736,10.04,9.82,10.22,-0.4,0.0816,1
"chr13",107138746,107139680,2.92,1.42,3.64,-2.22,0.0976,1
"chr20",11992838,11993330,3.62,2.16,4.33,-2.17,0.0998,1
"chr15",31120397,31120890,2.31,0.6,3.08,-2.48,0.119,1
"chr20",48959822,48960807,3.03,1.72,3.7,-1.98,0.12,1
"chr1",209363949,209364398,3.91,2.65,4.58,-1.93,0.133,1
"chr12",78118178,78118561,3.09,1.66,3.79,-2.13,0.141,1
"chr7",40720160,40720633,3.27,1.92,3.96,-2.04,0.144,1
"chr12",57977036,57977473,3.26,2.07,3.9,-1.83,0.145,1
"chr1",213349584,213350065,3.39,1.99,4.09,-2.09,0.145,1
"chr2",235952047,235953270,2.44,3.13,1.08,2.04,0.145,1
"chr2",238653641,238653902,2.59,1.35,3.25,-1.91,0.145,1
"chr17",66255111,66255973,3.48,2.33,4.12,-1.79,0.148,1
"chr11",105115149,105115516,2.47,1.18,3.14,-1.95,0.151,1
"chr7",17736010,17736427,3.32,2.02,3.99,-1.97,0.152,1
"chr12",7868988,7869338,2.35,0.89,3.06,-2.17,0.152,1
"chr4",4568117,4568460,1.14,-1.06,1.97,-3.03,0.153,1
"chr8",105799848,105800471,4.35,3.18,4.99,-1.81,0.156,1
"chr7",66843142,66843589,3.32,2.22,3.94,-1.71,0.158,1
"chr13",53824420,53824808,3.23,1.97,3.89,-1.92,0.158,1
"chr5",36265477,36265961,3.28,2.07,3.92,-1.86,0.159,1
"chr13",103109672,103110141,3.71,2.49,4.36,-1.87,0.16,1
"chr21",30848794,30849385,3.03,1.84,3.68,-1.84,0.162,1
"chr5",147500645,147500992,2.15,0.84,2.83,-1.99,0.162,1
"chr16",907531,909579,2.95,3.58,1.8,1.78,0.167,1
"chr4",182222634,182223318,3.76,2.51,4.42,-1.91,0.168,1
"chr6",132015951,132016370,3.45,2.27,4.09,-1.82,0.169,1
"chr4",82840360,82841157,3.67,2.58,4.29,-1.71,0.171,1
"chr13",45736690,45737277,2.94,1.87,3.55,-1.69,0.171,1
"chr8",133686114,133686525,2.71,1.63,3.33,-1.7,0.171,1
"chr5",148066992,148067421,3.88,2.64,4.54,-1.9,0.172,1
"chr1",233016059,233016479,3.23,1.97,3.89,-1.92,0.172,1
"chr18",14415550,14416188,1.84,0.31,2.57,-2.26,0.173,1
"chr2",141343931,141344321,3.26,2.02,3.91,-1.89,0.173,1
"chr10",50587591,50588086,3.54,2.39,4.17,-1.78,0.173,1
"chr12",19183871,19184368,3.41,2.33,4.02,-1.69,0.175,1
"chr15",55509645,55510125,3.39,2.14,4.05,-1.91,0.178,1
"chr9",72652956,72653632,2.92,1.89,3.51,-1.62,0.178,1
"chr3",106328602,106329734,3.42,2.37,4.02,-1.66,0.181,1
"chr1",157166718,157167139,2.07,0.72,2.75,-2.03,0.183,1
"chr4",157966664,157967063,3.09,1.89,3.73,-1.84,0.184,1
"chr3",160659670,160660066,3.25,2.11,3.87,-1.76,0.188,1
"chr8",2034280,2034892,3.9,2.84,4.5,-1.66,0.189,1
"chr6",151996807,151997315,3.76,2.74,4.35,-1.61,0.19,1
"chr16",22950972,22951611,2.95,1.84,3.57,-1.73,0.191,1
"chr9",134553868,134554322,3.47,2.44,4.07,-1.63,0.191,1
"chr6",144587310,144587736,3.72,2.64,4.33,-1.69,0.192,1
"chr8",136768975,136769531,3.66,2.48,4.31,-1.83,0.193,1
"chr10",24608340,24608731,2.84,1.66,3.48,-1.82,0.194,1
"chr9",84946782,84947329,2.98,1.78,3.63,-1.85,0.196,1
"chr21",33711960,33712412,3.4,2.35,4,-1.65,0.196,1
"chr7",93072011,93072529,3.36,2.29,3.96,-1.68,0.196,1
"chr7",30590629,30591104,3.67,2.64,4.26,-1.62,0.196,1
"chr12",61845735,61846163,2.91,1.78,3.54,-1.76,0.197,1
"chr13",29937062,29937523,3.48,2.4,4.09,-1.68,0.199,1
"chr4",98948990,98949425,3.2,1.99,3.84,-1.85,0.199,1
"chr2",205121755,205122206,2.79,1.75,3.39,-1.64,0.199,1
"chr4",144632682,144633331,3.15,2.04,3.77,-1.73,0.2,1
"chr2",89240622,89241078,3.01,1.94,3.62,-1.68,0.2,1
"chr5",119991492,119991902,3.01,1.94,3.62,-1.68,0.2,1
"chr7",21293675,21294325,3.17,2.04,3.79,-1.75,0.202,1
"chr12",63670523,63670946,2.93,1.84,3.54,-1.71,0.202,1
"chr12",96709543,96710307,3.1,1.97,3.73,-1.76,0.202,1
